iter	Passed	Remaining
778	1017	288
779	1018	287
780	1019	285
781	1019	284
782	1021	282
783	1022	281
784	1022	280
785	1023	278
786	1025	277
787	1026	276
788	1027	274
789	1028	273
790	1029	272
791	1031	270
792	1032	269
793	1033	268
794	1034	266
795	1035	265
796	1036	264
797	1037	262
798	1038	261
799	1039	259
800	1040	258
801	1041	257
802	1042	255
803	1043	254
804	1045	253
805	1046	251
806	1047	250
807	1048	249
808	1048	247
809	1049	246
810	1050	244
811	1051	243
812	1052	242
813	1054	240
814	1055	239
815	1057	238
816	1058	237
817	1059	235
818	1060	234
819	1061	233
820	1062	231
821	1064	230
822	1065	229
823	1066	227
824	1067	226
825	1068	225
826	1069	223
827	1070	222
828	1071	221
829	1072	219
830	1073	218
831	1074	216
832	1075	215
833	1076	214
834	1077	212
835	1079	211
836	1080	210
837	1081	209
838	1082	207
839	1082	206
840	1083	204
841	1084	203
842	1085	202
843	1086	200
844	1087	199
845	1088	198
846	1089	196
847	1090	195
848	1091	194
849	1092	192
850	1093	191
851	1094	190
852	1095	188
853	1096	187
854	1097	186
855	1098	184
856	1099	183
857	1100	182
858	1101	180
859	1102	179
860	1103	178
861	1104	176
862	1105	175
863	1106	174
864	1107	172
865	1108	171
866	1109	170
867	1110	168
868	1111	167
869	1112	166
870	1113	164
871	1114	163
872	1115	162
873	1116	160
874	1117	159
875	1117	158
876	1118	156
877	1119	155
878	1120	154
879	1121	152
880	1122	151
881	1123	150
882	1124	149
883	1125	147
884	1127	146
885	1128	145
886	1129	143
887	1131	142
888	1132	141
889	1133	140
890	1134	138
891	1134	137
892	1135	136
893	1136	134
894	1137	133
895	1138	132
896	1139	130
897	1141	129
898	1142	128
899	1144	127
900	1145	125
901	1146	124
902	1147	123
903	1147	121
904	1148	120
905	1149	119
906	1150	117
907	1151	116
908	1152	115
909	1153	114
910	1154	112
911	1155	111
912	1156	110
913	1157	108
914	1157	107
915	1158	106
916	1159	104
917	1160	103
918	1162	102
919	1163	101
920	1164	99
921	1165	98
922	1165	97
923	1166	95
924	1167	94
925	1168	93
926	1169	92
927	1170	90
928	1171	89
929	1172	88
930	1173	86
931	1174	85
932	1175	84
933	1176	83
934	1177	81
935	1178	80
936	1179	79
937	1179	77
938	1180	76
939	1181	75
940	1182	74
941	1183	72
942	1184	71
943	1185	70
944	1186	69
945	1187	67
946	1188	66
947	1188	65
948	1189	63
949	1190	62
950	1192	61
951	1193	60
952	1194	58
953	1195	57
954	1195	56
955	1196	55
956	1197	53
957	1198	52
958	1199	51
959	1200	50
960	1201	48
961	1202	47
962	1204	46
963	1205	45
964	1206	43
965	1207	42
966	1207	41
967	1208	39
968	1209	38
969	1211	37
970	1212	36
971	1213	34
972	1214	33
973	1215	32
974	1216	31
975	1217	29
976	1218	28
977	1219	27
978	1221	26
979	1222	24
980	1223	23
981	1224	22
982	1225	21
983	1226	19
984	1227	18
985	1228	17
986	1229	16
987	1230	14
988	1231	13
989	1232	12
990	1232	11
991	1233	9
992	1234	8
993	1236	7
994	1237	6
995	1239	4
996	1240	3
997	1241	2
998	1242	1
999	1243	0
